id,smiles,veber_pass,ghose_pass,egan_pass,muegge_pass,pains_flag,sa_score,tice_agro_pass,hazard_any,covalent_warhead_any,structural_alert_hits,green_chem_proxy,desirability
Org13011,O=C1CCCN1CCCCN1CCN(c2cc(C(F)(F)F)ccn2)CC1,1,1,1,1,0,1.77,1,0,0,cyp_pyridine_heme,3.79,0.762
Quinidine,C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,1,1,1,1,0,3.94,1,0,0,cyp_pyridine_heme,2.64,0.6752
38480,CCc1ccccc1,1,0,1,0,0,1.21,1,0,0,,1.1,0.6891
17,NC(N)=Nc1nc(-c2cccc(N)c2)cs1,1,0,1,1,0,2.02,1,0,0,cyp_aniline,2.725,0.6333
vinblastine,CC[C@]1(O)C[C@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1,0,0,0,0,0,8.526,0,0,0,,3.891,0.4583
Bacitracin,CCC(C)C(N)C1=NC(C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](CCC(=O)O)C(=O)N[C@H](C(=O)NCCCC[C@@H]2NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](CC(=O)O)NC(=O)[C@H](Cc3cnc[nH]3)NC(=O)[C@@H](Cc3ccccc3)NC(=O)[C@H]([C@@H](C)CC)NC(=O)[C@@H](CCCN)NC2=O)[C@@H](C)CC)CS1,0,0,0,0,0,8.186,0,0,0,cyp_imidazole_heme,2.711,0.2544
Nor-2-chlorpromazine,NCCCN1c2ccccc2Sc2ccc(Cl)cc21,1,0,1,1,0,2.19,1,0,0,,2.872,0.8004
compound 36,CN(C)Cc1ccc(CSCCNc2[nH]cc(Cc3ccccc3)c2[N+](=O)[O-])o1,0,1,1,1,0,2.23,1,0,0,cyp_terminal_furan,2.461,0.5485
19,CNC(=NC#N)Nc1cccc(-c2csc(N=C(N)N)n2)c1,1,1,0,1,0,2.048,0,0,0,cyp_aniline,2.766,0.6077
Y-G 14,CNCCc1ccccn1,1,0,1,0,0,1.1,0,0,0,cyp_pyridine_heme,1.6,0.7115
sertraline,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21,1,1,1,0,0,2.597,1,0,0,,3.115,0.7367
vincristine,CC[C@]1(O)C[C@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C=O)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1,0,0,0,0,0,8.572,0,0,0,,3.948,0.4289
SB-222200,CC[C@H](NC(=O)c1c(C)c(-c2ccccc2)nc2ccccc12)c1ccccc1,1,0,0,0,0,3.045,0,0,0,cyp_pyridine_heme,2.387,0.6355
SB-656104-A,O=S(=O)(c1ccc2cc[nH]c2c1)N1CCCC1CCN1CCC(Oc2cccc(Cl)c2)CC1,1,0,1,1,0,3.132,1,0,0,,3.375,0.6455
compound 38,CN(C)Cc1ccnc(-c2cccc(NC3N=CC=C3[N+](=O)[O-])c2)c1,1,1,1,1,0,2.533,1,0,0,cyp_pyridine_heme; cyp_aniline,2.562,0.6392
maprotiline,CNCCCC12CCC(c3ccccc31)c1ccccc12,1,1,1,1,0,2.69,1,0,0,,2.323,0.7868
compound 43,c1cc(CN2CCCCC2)cc(OCCCNc2nccs2)c1,1,1,1,1,0,1.91,1,0,0,,2.152,0.7496
MIL-663581,CN1Cc2c(-c3noc(C(C)(C)O)n3)ncn2-c2cccc(Cl)c2C1=O,1,1,1,1,0,2.567,1,0,0,,3.503,0.6568
cefotaxime,CO/N=C(\C(=O)N[C@H]1C(=O)N2C(C(=O)[O-])=C(COC(C)=O)CS[C@@H]12)c1csc(N)n1,0,0,0,0,0,2.7,0,0,1,acrylamide_warhead,3.0,0.4393
carbamazepine-10,NC(=O)N1c2ccccc2C2OC2c2ccccc21,1,0,1,1,0,3.12,1,0,1,epoxide_warhead,2.725,0.741
Cyclohexane,C1CCCCC1,1,0,1,0,0,1.0,1,0,0,,1.0,0.6959
2,Cc1csc(N=C(N)N)n1,1,0,1,0,0,1.31,0,0,0,,2.64,0.6333
SKF89124,CCCN(CCC)CCc1ccc(O)c2c1CC(=O)N2,1,1,1,1,0,1.425,1,0,0,,1.75,0.725
Org5222,CN1C[C@@H]2c3cc(Cl)ccc3Oc3ccccc3[C@@H]2C1,1,1,1,1,0,2.947,1,0,0,,2.915,0.7353
compound 35,CN(C)Cc1ccc(CSCCNC2N=CC=C2[N+](=O)[O-])o1,1,1,1,1,0,1.79,1,0,0,cyp_terminal_furan,2.291,0.5891
cefuroxime,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(COC(N)=O)CS[C@H]12)c1ccco1,0,0,0,0,0,2.755,0,0,1,acrylamide_warhead; cyp_terminal_furan,2.995,0.522
compound 45,c1cc(CN2CCCCC2)cc(OCCCNc2nc3ccccc3o2)c1,1,1,1,1,0,2.449,1,0,0,,2.428,0.718
Org4428,Cc1cccc2c1Oc1ccccc1[C@@]1(O)CCN(C)C[C@H]21,1,1,1,1,0,2.898,1,0,0,,2.314,0.7364
compound 32,O=[N+]([O-])C1=CC=NC1NCCSCc1ccccn1,1,0,1,1,0,1.93,1,0,0,cyp_pyridine_heme,2.439,0.5952
Bretyliumtosilate,CC[N+](C)(C)Cc1ccccc1Br,1,0,1,1,0,1.065,1,0,0,,1.898,0.7204
Y-G 20,NCCc1cn2ccccc2n1,1,0,1,0,0,1.673,0,0,0,cyp_pyridine_heme,2.172,0.7273
ornidazole,Cc1ncc([N+](=O)[O-])n1CC(O)CCl,1,0,1,1,0,1.194,0,0,1,haloacetamide_warhead,2.843,0.6153
SKF101468,CCCN(CCC)CCc1cccc2c1CC(=O)N2,1,0,1,1,0,1.405,1,0,0,,1.624,0.7589
Org30526,Clc1ccc2c(c1)[C@H]1CNC[C@H]1c1ccccc1O2,1,0,1,1,0,2.98,1,0,0,,2.974,0.7468
36,CN(C)CCC=C1c2ccccc2CCc2ccccc21,1,1,1,1,1,2.11,1,0,0,,1.803,0.3908
ceftriaxone,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nc(=O)c(=O)[nH]n3C)CS[C@H]12)c1csc(N)n1,0,0,0,0,0,3.22,0,0,1,acrylamide_warhead,3.433,0.3659
compound 42,c1ccc(NCCCOc2cccc(CN3CCCCC3)c2)nc1,1,1,1,1,0,1.99,1,0,0,cyp_pyridine_heme,2.04,0.7629
Org32104,Cc1cccc2c1Oc1ccccc1[C@@]1(O)CCNC[C@H]21,1,1,1,1,0,2.92,1,0,0,,2.362,0.7416
compound 31,O=[N+]([O-])C1=CC=NC1NCCSCc1ncccc1Br,1,1,1,1,0,1.95,1,0,0,cyp_pyridine_heme,3.033,0.5837
SB204457,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2,1,1,1,1,0,2.444,1,0,0,,2.333,0.7206
compound 41,OCCCOc1cccc(CN2CCCCC2)c1,1,0,1,1,0,1.34,1,0,0,,1.62,0.7168
clomethiazole,Cc1ncsc1CCCl,1,0,1,0,0,1.0,1,0,1,haloacetamide_warhead,2.4,0.7037
celiprolol,CCN(CC)C(=O)Nc1ccc(OCC(O)CNC(C)(C)C)c(C(C)=O)c1,1,1,1,1,0,1.42,1,0,0,,1.598,0.6454
"""1,1,1-Trifluro-2-chloroethane""",FC(F)(F)CCl,1,0,1,0,0,1.0,1,0,1,haloacetamide_warhead,4.2,0.693
33,CC(C)c1nc(-c2ncn3c2CN(C)C(=O)c2c(Cl)cccc2-3)no1,1,1,1,1,0,2.547,1,0,0,,3.425,0.6842
cefoxitin,CO[C@@]1(NC(=O)Cc2cccs2)C(=O)N2C(C(=O)O)=C(COC(N)=O)CS[C@@H]21,0,1,0,1,0,2.66,0,0,1,acrylamide_warhead; cyp_terminal_thiophene,2.886,0.4997
Org34167,C=CC[C@H](N)c1ccccc1-c1noc2ccccc12,1,1,1,1,0,2.559,1,0,0,,2.256,0.7303
9-OH Risperidone,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2O,1,1,1,1,0,2.994,1,0,0,,3.357,0.7277
acetaminophen,CC(=O)Nc1ccc(O)cc1,1,0,1,0,0,1.42,1,0,0,,2.018,0.6384
acetylsalicylate,CC(=O)Oc1ccccc1C(=O)O,1,0,1,0,0,1.477,1,0,0,,2.134,0.6278
allopurinol,O=c1ncnc2[nH][nH]cc1-2,1,0,1,0,0,1.9,0,0,0,,3.1,0.6402
Alprostadil,CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)O,0,1,1,1,0,1.89,0,0,0,,1.26,0.5645
aminophylline,Cn1c(=O)c2[nH]cnc2n(C)c1=O,1,0,1,0,0,1.617,0,0,0,cyp_imidazole_heme,2.756,0.6692
Amiodarone,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,0,0,0,0,0,2.19,0,0,0,cyp_terminal_furan,3.161,0.4877
amoxicillin,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,1,1,0,1,0,3.025,0,0,0,,2.63,0.5349
ampicillin,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)O,1,1,1,1,0,3.005,0,0,0,,2.55,0.5616
androsan,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O,1,1,1,1,0,3.32,1,0,1,acrylamide_warhead,1.793,0.6998
oxaflumazine,FC(F)(F)c1ccc2c(c1)N(CCCN1CCN(CCC3OCCCO3)CC1)c1ccccc1S2,1,0,1,0,0,2.804,0,0,0,,4.341,0.645
oxazepam,O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O,1,1,1,1,0,2.62,1,0,0,,3.097,0.734
oxiperomide,O=c1[nH]c2ccccc2n1C1CCN(CCOc2ccccc2)CC1,1,1,1,1,0,2.48,1,0,0,cyp_imidazole_heme,2.52,0.7679
oxycodone,COc1ccc2c3c1O[C@H]1C(=O)CC[C@@]4(O)[C@@H](C2)N(C)CC[C@]314,1,1,1,1,0,4.077,1,0,0,,2.663,0.7281
oxymorphone,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5,1,1,1,1,0,4.084,0,0,0,,2.711,0.7661
pecazine,CN1CCCC(CN2c3ccccc3Sc3ccccc32)C1,1,1,1,1,1,2.648,1,0,0,,2.314,0.3943
pemoline,NC1=NC(=O)C(c2ccccc2)O1,1,0,1,0,0,2.077,0,0,0,,2.434,0.7156
pentazocine,CC(C)=CCN1CC[C@@]2(C)c3cc(O)ccc3C[C@@H]1[C@H]2C,1,1,1,1,0,2.525,1,0,0,,1.723,0.7691
Ethionamide,CCc1cc(C(N)=S)ccn1,1,0,1,0,0,1.27,1,0,0,cyp_pyridine_heme,1.918,0.6954
Etoposide,COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@H]3O)C3COC(=O)[C@@H]32)OCO4)cc(OC)c1O,0,0,0,0,0,6.128,0,0,0,cyp_methylenedioxyphenyl,3.587,0.5237
Famotidine,NC(N)=Nc1nc(CSCCC(N)=NS(N)(=O)=O)cs1,0,0,0,0,0,1.3,0,0,0,,2.8,0.5418
Fluconazole,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,1,1,1,1,0,2.213,0,0,0,,3.943,0.7236
Foscarnetsodium,O=C([O-])P(=O)([O-])[O-],1,0,1,0,0,1.14,0,0,0,,3.571,0.4905
Gabapentin,NCC1(CC(=O)O)CCCCC1,1,0,1,0,0,1.0,1,0,0,,1.339,0.5771
Nafcillin,CCOc1ccc2ccccc2c1C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)[O-],1,1,1,1,0,3.273,1,0,0,,2.723,0.6004
Nalidixicacid,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,1,0,1,1,0,1.74,1,0,0,cyp_pyridine_heme,2.282,0.6419
Nelfinavir,Cc1c(O)cccc1C(=O)N[C@@H](CSc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C,1,0,1,1,0,3.775,0,0,0,,2.35,0.5318
Astemizole,COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1,1,0,1,0,0,3.044,1,0,0,,3.272,0.6367
atropine,CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,1,1,1,1,0,2.514,1,0,0,,2.001,0.6484
Auxeomycin,CN(C)[C@@H]1C(=O)/C(=C(\N)O)C(=O)[C@@]2(O)C(=O)C3=C(O)c4c(O)ccc(Cl)c4[C@@](C)(O)[C@H]3C[C@@H]12,0,1,0,0,0,3.819,0,0,1,acrylamide_warhead,3.373,0.3842
Betamethasone,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,1,1,1,1,0,4.087,1,0,1,acrylamide_warhead,2.761,0.7355
carbenicillin,CC1(C)S[C@@H]2[C@H](NC(=O)C(C(=O)O)c3ccccc3)C(=O)N2[C@H]1C(=O)O,1,1,1,1,0,3.076,0,0,0,,2.609,0.5211
carbidopa,C[C@@](Cc1ccc(O)c(O)c1)(NN)C(=O)O,1,0,1,1,1,1.56,0,0,0,,2.185,0.2363
carteolol,CC(C)(C)NCC(O)COc1cccc2c1CCC(=O)N2,1,1,1,1,0,1.695,1,0,0,,1.864,0.6619
Cefazolin,Cc1nnc(SCC2=C(C(=O)[O-])N3C(=O)[C@@H](NC(=O)Cn4cnnn4)[C@H]3SC2)s1,0,0,0,0,0,2.966,0,0,1,acrylamide_warhead,3.409,0.4693
cephapirin,CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)CSc3ccncc3)[C@H]2SC1,1,1,1,1,0,2.686,0,0,1,acrylamide_warhead; cyp_pyridine_heme,2.796,0.4942
chlorambucil,O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1,1,0,1,1,1,1.13,1,0,1,haloacetamide_warhead,2.689,0.3259
pergolide,CCCN1C[C@H](CSC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21,1,1,1,1,0,2.895,1,0,0,,2.146,0.8063
perlapine,CN1CCN(C2=Nc3ccccc3Cc3ccccc32)CC1,1,1,1,1,0,2.461,1,0,0,,2.356,0.7765
perphenazine-HCl,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,1,1,1,1,0,2.426,1,0,0,,3.024,0.7726
pethidine,CCOC(=O)C1(c2ccccc2)CCN(C)CC1,1,0,1,1,0,1.42,1,0,0,,1.673,0.7581
phencyclidine,c1ccc(C2(N3CCCCC3)CCCCC2)cc1,1,0,1,1,0,1.634,1,0,0,,1.549,0.7793
phenelzine sulfate,NNCCc1ccccc1,1,0,1,0,0,1.25,0,0,0,,1.7,0.6607
phenobarbital,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,1,0,1,1,0,1.74,0,0,0,,2.282,0.7066
phenprobamate,NC(=O)OCCCc1ccccc1,1,0,1,0,0,1.25,1,0,0,,1.752,0.6986
physostigmine,CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C,1,1,1,1,0,2.31,1,0,0,,2.223,0.7316
Norepinephrine,NCC(O)c1ccc(O)c(O)c1,1,0,1,0,1,1.54,0,0,0,,2.1,0.2642
Omeprazole,COc1ccc2nc(S(=O)Cc3ncc(C)c(OC)c3C)[nH]c2c1,1,1,1,1,0,2.427,1,0,0,cyp_imidazole_heme; cyp_pyridine_heme,2.54,0.6663
Oxacillin,Cc1onc(-c2ccccc2)c1C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)O,1,1,1,1,0,3.268,1,0,0,,2.87,0.6022
Pentostatin,OC[C@H]1O[C@@H](n2cnc3c2NC=NC[C@H]3O)C[C@@H]1O,1,0,1,1,0,2.666,0,0,0,,2.654,0.5449
Phenoxymethylpenicillin,CC1(C)S[C@@H]2[C@H](NC(=O)COc3ccccc3)C(=O)N2[C@H]1C(=O)[O-],1,0,1,1,0,2.755,0,0,0,,2.55,0.5902
chloramphenicol,O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,1,1,1,1,0,1.814,0,0,1,haloacetamide_warhead,3.359,0.5564
chlorothiazide,NS(=O)(=O)c1cc2c(cc1Cl)NC=NS2(=O)=O,1,0,1,1,0,2.04,0,0,0,cyp_aniline,3.865,0.5858
chlorpropamide,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,1,0,1,1,0,1.33,1,0,0,,2.795,0.6602
chlorthalidone,NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl,1,1,1,1,0,2.654,0,0,0,,3.434,0.6763
clofibrate,CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1,1,0,1,1,0,1.17,1,0,0,,2.217,0.7084
clofibric acid,CC(C)(Oc1ccc(Cl)cc1)C(=O)O,1,0,1,1,0,1.27,1,0,0,,2.417,0.6592
clotrimazole,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,1,1,1,0,0,2.845,1,0,0,,3.024,0.6401
corticosterone,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2C(=O)CO,1,1,1,1,0,3.679,1,0,1,acrylamide_warhead,2.032,0.7222
Cortisone,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2C(=O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,1,1,1,1,1,3.506,1,0,1,acrylamide_warhead,2.167,0.3302
piflutixol,OCCC1CCN(CC/C=C2\c3ccc(F)cc3Sc3ccc(C(F)(F)F)cc32)CC1,1,0,0,0,1,2.52,0,0,0,,4.544,0.3304
pimozide,O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,1,0,1,0,0,3.044,0,0,0,cyp_imidazole_heme,3.772,0.6395
pinoxepin,OCCN1CCN(CC/C=C2/c3ccccc3COc3ccc(Cl)cc32)CC1,1,1,1,1,0,2.49,1,0,0,,2.923,0.7643
pipamperone,NC(=O)C1(N2CCCCC2)CCN(CCCC(=O)c2ccc(F)cc2)CC1,1,1,1,1,0,1.847,1,0,0,,2.571,0.763
prazepam,O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1CC1CC1,1,1,1,1,0,2.544,1,0,0,,3.011,0.7712
pregnanolone,CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,1,1,1,1,0,3.717,1,0,0,,1.699,0.7243
primidone,CCC1(c2ccccc2)C(=O)NCNC1=O,1,0,1,1,0,1.62,0,0,0,,2.083,0.7151
